Parameter,Time,Value,Global
F2,1.6600000000000001,800.0000000000001,False
F2,1.67,800.0000000000001,False
F2,1.68,800.0000000000001,False
F2,1.69,800.0000000000001,False
F2,1.7,800.0000000000001,False
F2,1.71,800.0000000000001,False
F2,1.72,800.0000000000001,False
F2,1.73,800.0000000000001,False
F2,1.74,800.0000000000001,False
F2,1.75,800.0000000000001,False
F2,1.76,800.0000000000001,False
F2,1.77,800.0000000000001,False
F2,1.78,800.0000000000001,False
F2,1.79,800.0000000000001,False
F2,1.8,800.0000000000001,False
F2,1.81,800.0000000000001,False
F2,1.82,800.0000000000001,False
F2,1.83,800.0000000000001,False
F2,1.84,800.0000000000001,False
F2,1.85,800.0000000000001,False
F2,1.86,800.0000000000001,False
F2,1.87,800.0000000000001,False
F2,1.8800000000000001,800.0000000000001,False
F2,1.8900000000000001,800.0000000000001,False
F2,1.9000000000000001,800.0000000000001,False
F2,1.9100000000000001,800.0000000000001,False
F2,1.92,800.0000000000001,False
F2,1.93,800.0000000000001,False
F2,1.94,800.0000000000001,False
F2,1.95,800.0000000000001,False
F2,1.96,800.0000000000001,False
F2,1.97,800.0000000000001,False
F2,1.98,800.0000000000001,False
F2,1.99,800.0000000000001,False
F2,2.0,800.0000000000001,False
F3,0.0,2440.0,False
F3,0.01,2440.0,False
F3,0.02,2440.0,False
F3,0.03,2440.0,False
F3,0.04,2440.0,False
F3,0.05,2440.0,False
F3,0.06,2440.0,False
F3,0.07,2440.0,False
F3,0.08,2440.0,False
F3,0.09,2440.0,False
F3,0.1,2440.0,False
F3,0.11,2440.0,False
F3,0.12,2440.0,False
F3,0.13,2440.0,False
F3,0.14,2440.0,False
F3,0.15,2440.0,False
F3,0.16,2440.0,False
F3,0.17,2440.0,False
F3,0.18,2440.0,False
F3,0.19,2440.0,False
F3,0.2,2440.0,False
F3,0.21,2440.0,False
F3,0.22,2440.0,False
F3,0.23,2440.0,False
F3,0.24,2440.0,False
F3,0.25,2440.0,False
F3,0.26,2440.0,False
F3,0.27,2440.0,False
F3,0.28,2440.0,False
F3,0.29,2440.0,False
F3,0.3,2440.0,False
F3,0.31,2440.0,False
F3,0.32,2440.0,False
F3,0.33,2440.0,False
F3,0.34,2451.6326530612246,False
F3,0.35000000000000003,2474.8979591836733,False
F3,0.36,2509.795918367347,False
